"","name","value"
"1","na_pwsid",0
"2","na_serv_connections",4383
"3","na_sdwis_pop",0
"4","zero_sdwis_pop",386
"5","zero_area",151
"6","zero_pop_density",153
"7","na_cesus_pop",4614
"8","zero_census_pop",858
"9","empty_geoms",4534
